Month,Avg. High,Avg. Low,Mean,Avg. Precip.,Record High,Record Low
1,3¡C,-4¡C,0¡C,83.8 mm,20¡C (1967),-20¡C (1985)
2,4¡C,-3¡C,1¡C,81.3 mm,23¡C (1985),-19¡C (1963)
3,9¡C,1¡C,6¡C,96.5 mm,28¡C (1990),-12¡C (1980)
4,16¡C,6¡C,11¡C,104.1 mm,32¡C (1977),-7¡C (1982)
5,21¡C,12¡C,17¡C,106.7 mm,37¡C (1969),2¡C (1966)
6,26¡C,17¡C,22¡C,91.4 mm,37¡C (1964),8¡C (1972)
7,29¡C,20¡C,25¡C,106.7 mm,41¡C (1966),12¡C (1979)
8,28¡C,19¡C,24¡C,101.6 mm,38¡C (1975),10¡C (1965)
9,24¡C,16¡C,21¡C,101.6 mm,37¡C (1983),5¡C (1963)
10,18¡C,9¡C,14¡C,78.7 mm,30¡C (1990),-1¡C (1976)
11,12¡C,5¡C,9¡C,101.6 mm,27¡C (1974),-8¡C (1976)
12,6¡C,-1¡C,3¡C,91.4 mm,24¡C (1998),-18¡C (1980)
