"","DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","ON.STREET.NAME","CROSS.STREET.NAME","PERSONS.INJURED","PERSONS.KILLED","PEDESTRIANS.INJURED","PEDESTRIANS.KILLED","CYCLISTS.INJURED","CYCLISTS.KILLED","MOTORISTS.INJURED","MOTORISTS.KILLED","VEHICLE.1.TYPE","VEHICLE.2.TYPE","VEHICLE.1.FACTOR","hour","Month","Avg..High","Avg..Low","Mean","time_of_day","season"
"1","03/16/2015","13:30",2,11235,40.5773897,-73.965294,"BRIGHTON 2 STREET","BRIGHTON 1 LANE",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","DRIVER INATTENTION/DISTRACTION",13,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"2","03/16/2015","16:20",4,10456,40.8319466,-73.9198611,"WINCHESTER BOULEVARD","92 AVENUE",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","DRIVER INATTENTION/DISTRACTION",16,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"3","03/16/2015","17:34",2,11219,40.6334868,-73.9865469,"15 AVENUE","47 STREET",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",17,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"4","03/16/2015","17:35",2,11222,40.7201577,-73.946042,"GRAHAM AVENUE","BAYARD STREET",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",17,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"5","03/16/2015","19:01",3,10017,40.7547827,-73.9799352,"WEST 44 STREET","5 AVENUE",1,0,0,0,1,0,0,0,"BICYCLE","TAXI","FATIGUED/DROWSY",19,3,"9¡C","1¡C","6¡C","Evening","Winter"
"6","03/17/2015","13:10",2,11201,40.6975055,-73.982275,"CONCORD STREET","PRINCE STREET",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","DRIVER INEXPERIENCE",13,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"7","03/17/2015","14:50",2,11218,40.6413255,-73.9829925,"36 STREET","CHURCH AVENUE",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",14,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"8","03/17/2015","15:15",1,11377,40.7407772,-73.8986147,"1 BOULEVARD","66 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",15,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"9","03/17/2015","23:35",2,11211,40.7113504,-73.9614224,"DRIGGS AVENUE","SOUTH 4 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",23,3,"9¡C","1¡C","6¡C","Evening","Winter"
"10","03/18/2015","19:14",3,10017,40.7507747,-73.9765366,"EAST 41 STREET","LEXINGTON AVENUE",1,0,0,0,1,0,0,0,"BICYCLE","TAXI","FATIGUED/DROWSY",19,3,"9¡C","1¡C","6¡C","Evening","Winter"
"11","03/18/2015","22:00",3,10065,40.762106,-73.9601368,"EAST 63 STREET","1 AVENUE",1,0,0,0,1,0,0,0,"MOTORCYCLE","UNKNOWN","FAILURE TO YIELD RIGHT-OF-WAY",22,3,"9¡C","1¡C","6¡C","Evening","Winter"
"12","03/19/2015","21:15",1,11377,40.7446598,-73.9068045,"58 STREET","41 AVENUE",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","DRIVER INATTENTION/DISTRACTION",21,3,"9¡C","1¡C","6¡C","Evening","Winter"
"13","03/20/2015","11:50",2,11226,40.6495224,-73.9557895,"BEDFORD AVENUE","ERASMUS STREET",1,0,0,0,1,0,0,0,"VAN","BICYCLE","FATIGUED/DROWSY",11,3,"9¡C","1¡C","6¡C","Morning","Winter"
"14","03/20/2015","14:50",1,11372,40.7486146,-73.8746312,"92 STREET","ROOSEVELT AVENUE",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","DRIVER INATTENTION/DISTRACTION",14,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"15","03/22/2015","17:00",4,10458,40.8620661,-73.8948254,"27 STREET","HOYT AVENUE SOUTH",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",17,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"16","03/22/2015","17:13",3,10017,40.7540989,-73.9783329,"MADISON AVENUE","EAST 44 STREET",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","DRIVER INATTENTION/DISTRACTION",17,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"17","03/22/2015","20:30",3,10009,40.7284761,-73.9756966,"EAST 14 STREET","AVENUE C",1,0,0,0,1,0,0,0,"UNKNOWN","BICYCLE","DRIVER INATTENTION/DISTRACTION",20,3,"9¡C","1¡C","6¡C","Evening","Winter"
"18","03/22/2015","22:02",3,10024,40.7876856,-73.9750141,"WEST 86 STREET","AMSTERDAM AVENUE",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","DRIVER INATTENTION/DISTRACTION",22,3,"9¡C","1¡C","6¡C","Evening","Winter"
"19","03/23/2015","16:10",3,10025,40.7978156,-73.9713371,"104 STREET","ROOSEVELT AVENUE",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",16,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"20","03/23/2015","18:47",2,11230,40.6200954,-73.963269,"EAST 12 STREET","AVENUE L",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",18,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"21","03/24/2015","19:20",2,11211,40.7140658,-73.9493728,"METROPOLITAN AVENUE","LORIMER STREET",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",19,3,"9¡C","1¡C","6¡C","Evening","Winter"
"22","03/25/2015","18:30",1,11421,40.6879035,-73.8496995,"ATLANTIC AVENUE","93 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","PASSENGER VEHICLE","PRESCRIPTION MEDICATION",18,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
"23","03/25/2015","20:20",3,10014,40.7353048,-74.0049326,"BLEECKER STREET","PERRY STREET",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",20,3,"9¡C","1¡C","6¡C","Evening","Winter"
"24","03/25/2015","7:07",2,11204,40.630069,-73.9824045,"17 AVENUE","48 STREET",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","LOST CONSCIOUSNESS",7,3,"9¡C","1¡C","6¡C","Morning","Winter"
"25","03/25/2015","9:00",3,10003,40.734034,-73.9950494,"5 AVENUE","EAST 11 STREET",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","TURNING IMPROPERLY",9,3,"9¡C","1¡C","6¡C","Morning","Winter"
"26","03/26/2015","19:40",1,11374,40.7336689,-73.8576535,"62 DRIVE","99 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","PRESCRIPTION MEDICATION",19,3,"9¡C","1¡C","6¡C","Evening","Winter"
"27","03/26/2015","22:00",3,10023,40.7784761,-73.9854489,"WEST END AVENUE","WEST 70 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",22,3,"9¡C","1¡C","6¡C","Evening","Winter"
"28","03/26/2015","9:43",4,10468,40.8622104,-73.8996443,"EAST 188 STREET","MORRIS AVENUE",1,0,0,0,1,0,0,0,"SPORT UTILITY/STATION WAGON","BICYCLE","DRIVER INATTENTION/DISTRACTION",9,3,"9¡C","1¡C","6¡C","Morning","Winter"
"29","03/27/2015","11:30",3,10029,40.7986223,-73.9416189,"EAST 116 STREET","LEXINGTON AVENUE",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",11,3,"9¡C","1¡C","6¡C","Morning","Winter"
"30","03/27/2015","20:35",3,10014,40.7340942,-74.0084903,"CHARLES STREET","WASHINGTON STREET",1,0,0,0,1,0,0,0,"TAXI","BICYCLE","FAILURE TO YIELD RIGHT-OF-WAY",20,3,"9¡C","1¡C","6¡C","Evening","Winter"
"31","03/28/2015","13:30",1,11694,40.5845874,-73.8195749,"ROCKAWAY BEACH BOULEVARD","BEACH 98 STREET",1,0,0,0,1,0,0,0,"PASSENGER VEHICLE","BICYCLE","DRIVER INATTENTION/DISTRACTION",13,3,"9¡C","1¡C","6¡C","Afternoon","Winter"
